,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
12,Bubaque,GW,81.18,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
17,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
29,Dhidhdhoo,MV,82.02,overcast clouds,6.8833,73.1,Dhidhoo beach
34,Veraval,IN,80.4,clear sky,20.9,70.3667,Lords Inn Somnath
35,Accra,GH,78.21,scattered clouds,5.556,-0.1969,Accra City Hotel
38,Bengkulu,ID,75.16,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
43,Azacualpa,HN,81.25,overcast clouds,15.3433,-88.5514,Hotel Merendon
49,Douentza,ML,89.67,light rain,14.9951,-2.9517,Ogomono Doumbo
61,Intipuca,SV,86.34,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
66,Sao Filipe,CV,79.32,few clouds,14.8961,-24.4956,Hotel Xaguate
70,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
74,Nicoya,CR,79.07,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
75,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
83,Moyale,KE,77.11,scattered clouds,3.5167,39.0584,La Tahzan Guest House
87,Pietersburg,ZA,76.51,clear sky,-23.9045,29.4688,Fusion Boutique Hotel
92,Ponta Do Sol,PT,75.83,broken clouds,32.6667,-17.1,Hotel do Campo
94,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
95,Bougouni,ML,82.49,light rain,11.417,-7.479,Non Stop
99,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
105,Mana,GF,87.03,few clouds,5.6592,-53.7767,LE SAMANA
109,Korampallam,IN,83.77,overcast clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
111,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
117,Luanda,AO,75.36,few clouds,-8.8368,13.2343,EPIC SANA Luanda
118,Mut,TR,82.67,clear sky,36.6439,33.4389,Konak Otel
121,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
122,La Mana,EC,87.64,overcast clouds,-0.9333,-79.2167,Hotel Somagg
125,Baramati,IN,77.31,broken clouds,18.15,74.5833,OYO 43302 Hotel Sargam
127,Marsaxlokk,MT,79.41,few clouds,35.8419,14.5431,Water's Edge
128,Cedeno,CO,81.3,overcast clouds,7.0464,-72.1634,BASE MILITAR DE GIBRALTAR
132,Laguna,US,83.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
133,Venado Tuerto,AR,76.77,broken clouds,-33.7456,-61.9688,La Bianca.
137,Bandarbeyla,SO,78.44,scattered clouds,9.4942,50.8122,JABIR HOTEL
138,Panagar,IN,75.13,overcast clouds,23.3,79.9833,Paras Hotel pure veg
139,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
144,Mocuba,MZ,76.66,clear sky,-16.8392,36.9856,Phama Lodge
146,Salinopolis,BR,85.17,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
148,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
149,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
153,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Atar,MR,89.64,clear sky,20.5169,-13.0499,Oumou Elghoura
159,Bosaso,SO,85.17,few clouds,11.2842,49.1816,Red Sea Hotel
162,Saint-Georges,GD,84.49,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
163,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
168,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
170,Muisne,EC,78.03,overcast clouds,0.6,-80.0333,Quinta Samay
171,Mayumba,GA,75.45,light rain,-3.432,10.6554,LIKWALE LODGE
174,Itarantim,BR,81.09,overcast clouds,-15.6597,-40.0656,Pousada Buterfly
176,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
177,Yining,CN,78.01,clear sky,29.0361,114.5636,Xiushui Hotel
178,El Corpus,HN,77.68,overcast clouds,14.7,-88.9167,Balneario Bahía Verde
183,Narnaund,IN,81.1,clear sky,29.2167,76.15,Sandeep Dangi House.
185,Gasa,PS,80.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
189,Bani,DO,85.44,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
190,Inirida,CO,85.46,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
192,Bentiu,SS,78.53,clear sky,9.2333,29.8333,Mandela hôtel
198,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
202,Puri,IN,77.52,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
205,Neuquen,AR,75.36,broken clouds,-38.9516,-68.0591,Hotel del Comahue
208,Rio Rita,PA,80.8,overcast clouds,9.3039,-79.7944,casa del señor eric cedeño
211,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
