City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mahebourg,-20.4081,57.7,70.25,69,39,14.2,MU,2022-10-01 17:08:19,scattered clouds
1,Bathsheba,13.2167,-59.5167,88.41,70,40,13.8,BB,2022-10-01 17:05:31,scattered clouds
2,Klaksvik,62.2266,-6.589,50.92,87,68,17.25,FO,2022-10-01 17:08:20,broken clouds
3,Mehamn,71.0357,27.8492,40.91,100,100,2.3,NO,2022-10-01 17:08:06,overcast clouds
4,Tessalit,20.1986,1.0114,89.96,30,78,8.34,ML,2022-10-01 17:08:20,broken clouds
5,Shache,38.4167,77.2406,70.43,23,100,10.45,CN,2022-10-01 17:08:20,overcast clouds
6,Iqaluit,63.7506,-68.5145,32.7,69,90,20.0,CA,2022-10-01 17:08:11,overcast clouds
7,Hermanus,-34.4187,19.2345,61.81,72,100,9.1,ZA,2022-10-01 17:08:21,overcast clouds
8,Saint-Philippe,-21.3585,55.7679,69.39,77,41,11.07,RE,2022-10-01 17:08:21,scattered clouds
9,Dikson,73.5069,80.5464,34.29,99,100,13.65,RU,2022-10-01 17:08:22,overcast clouds
10,Vardo,70.3705,31.1107,35.58,87,100,2.3,NO,2022-10-01 17:08:22,overcast clouds
11,Castro,-24.7911,-50.0119,68.74,70,84,6.49,BR,2022-10-01 17:08:23,broken clouds
12,Bubaque,11.2833,-15.8333,81.18,78,99,13.04,GW,2022-10-01 17:08:23,overcast clouds
13,Ust-Koksa,50.2696,85.6108,21.49,64,7,0.92,RU,2022-10-01 17:08:24,clear sky
14,Ushuaia,-54.8,-68.3,46.06,57,75,25.32,AR,2022-10-01 17:08:24,broken clouds
15,Carauari,-4.8828,-66.8958,95.99,38,100,3.76,BR,2022-10-01 17:05:10,overcast clouds
16,Arlit,18.7369,7.3853,91.83,32,68,5.97,NE,2022-10-01 17:08:25,broken clouds
17,Hithadhoo,-0.6,73.0833,81.73,72,96,13.0,MV,2022-10-01 17:08:25,overcast clouds
18,Gazojak,41.1875,61.4036,58.6,13,1,18.12,TM,2022-10-01 17:08:26,clear sky
19,Luderitz,-26.6481,15.1594,62.73,70,0,12.41,NA,2022-10-01 17:08:26,clear sky
20,Tasiilaq,65.6145,-37.6368,41.16,99,100,4.99,GL,2022-10-01 17:08:26,light rain
21,Manjacaze,-24.7117,33.8828,73.49,66,0,11.45,MZ,2022-10-01 17:08:27,clear sky
22,Hofn,64.2539,-15.2082,46.71,90,100,4.21,IS,2022-10-01 17:08:27,overcast clouds
23,Saldanha,-33.0117,17.9442,60.04,77,98,20.04,ZA,2022-10-01 17:08:28,overcast clouds
24,Victoria,22.2855,114.1577,83.32,85,60,10.0,HK,2022-10-01 17:07:50,broken clouds
25,Rawson,-43.3002,-65.1023,62.26,34,9,9.44,AR,2022-10-01 17:08:28,clear sky
26,Qaanaaq,77.484,-69.3632,9.45,75,0,5.84,GL,2022-10-01 17:08:29,clear sky
27,Potoci,43.4086,17.8786,63.28,94,90,2.59,BA,2022-10-01 17:08:29,overcast clouds
28,Kinna,57.5073,12.6946,51.75,90,100,8.01,SE,2022-10-01 17:08:29,light rain
29,Dhidhdhoo,6.8833,73.1,82.02,78,95,18.37,MV,2022-10-01 17:08:30,overcast clouds
30,Jamestown,42.097,-79.2353,60.94,62,0,11.5,US,2022-10-01 17:08:30,clear sky
31,Ostrovnoy,68.0531,39.5131,35.62,96,100,11.74,RU,2022-10-01 17:04:07,overcast clouds
32,Mar Del Plata,-38.0023,-57.5575,69.82,43,0,5.75,AR,2022-10-01 17:08:31,clear sky
33,Coihueco,-36.6167,-71.8333,61.54,67,75,3.44,CL,2022-10-01 17:08:31,broken clouds
34,Veraval,20.9,70.3667,80.4,78,1,8.79,IN,2022-10-01 17:08:31,clear sky
35,Accra,5.556,-0.1969,78.21,81,48,13.87,GH,2022-10-01 17:08:32,scattered clouds
36,Qaqortoq,60.7167,-46.0333,38.55,93,100,6.24,GL,2022-10-01 17:08:32,light rain
37,Cape Town,-33.9258,18.4232,63.27,70,100,11.01,ZA,2022-10-01 17:08:23,overcast clouds
38,Bengkulu,-3.8004,102.2655,75.16,95,99,5.01,ID,2022-10-01 17:08:33,moderate rain
39,Port Alfred,-33.5906,26.891,59.18,90,82,6.38,ZA,2022-10-01 17:08:33,broken clouds
40,Punta Arenas,-53.15,-70.9167,48.31,46,40,25.32,CL,2022-10-01 17:08:34,scattered clouds
41,Hualmay,-11.0964,-77.6139,68.0,68,43,11.18,PE,2022-10-01 17:08:34,scattered clouds
42,Souillac,-20.5167,57.5167,69.87,69,51,13.27,MU,2022-10-01 17:08:34,broken clouds
43,Azacualpa,15.3433,-88.5514,81.25,68,99,3.53,HN,2022-10-01 17:09:35,overcast clouds
44,Port Elizabeth,-33.918,25.5701,61.32,87,66,5.01,ZA,2022-10-01 17:09:35,broken clouds
45,Talnakh,69.4865,88.3972,29.21,97,100,6.04,RU,2022-10-01 17:09:35,light snow
46,Torbay,47.6666,-52.7314,65.88,53,3,11.99,CA,2022-10-01 17:09:36,clear sky
47,Longyearbyen,78.2186,15.6401,37.24,93,75,4.61,SJ,2022-10-01 17:09:36,broken clouds
48,Cap Malheureux,-19.9842,57.6142,70.47,70,4,4.0,MU,2022-10-01 17:09:37,clear sky
49,Douentza,14.9951,-2.9517,89.67,45,87,19.37,ML,2022-10-01 17:09:37,light rain
50,Nieuw Amsterdam,5.8833,-55.0833,92.01,58,40,6.91,SR,2022-10-01 17:09:37,scattered clouds
51,Lagoa,39.05,-27.9833,71.29,78,14,20.2,PT,2022-10-01 17:09:38,few clouds
52,Pereslavl-Zalesskiy,56.7393,38.8563,54.28,98,100,4.88,RU,2022-10-01 17:09:38,overcast clouds
53,Faya,18.3851,42.4509,64.92,60,16,5.93,SA,2022-10-01 17:08:26,few clouds
54,Bolshevik,54.0065,27.5692,49.62,93,86,4.03,BY,2022-10-01 17:09:39,overcast clouds
55,Padang,-0.9492,100.3543,73.45,90,100,2.57,ID,2022-10-01 17:09:39,moderate rain
56,Faratsiho,-19.4,46.95,59.7,44,0,4.41,MG,2022-10-01 17:09:39,clear sky
57,Upernavik,72.7868,-56.1549,22.86,80,42,6.17,GL,2022-10-01 17:09:40,scattered clouds
58,Abu Samrah,35.3029,37.1841,84.79,19,0,9.6,SY,2022-10-01 17:09:40,clear sky
59,Manica,49.0,-1.1667,59.5,85,82,11.07,FR,2022-10-01 17:09:40,broken clouds
60,Narsaq,60.9167,-46.05,39.42,98,100,5.37,GL,2022-10-01 17:09:41,light rain
61,Intipuca,13.1969,-88.0544,86.34,56,100,3.24,SV,2022-10-01 17:09:41,overcast clouds
62,Xai-Xai,-25.0519,33.6442,72.61,78,0,15.48,MZ,2022-10-01 17:09:42,clear sky
63,Saint-Augustin,51.226,-58.6502,51.87,34,30,15.64,CA,2022-10-01 17:09:42,scattered clouds
64,Shchigry,51.8755,36.9043,62.42,86,100,11.32,RU,2022-10-01 17:09:42,overcast clouds
65,Coquimbo,-29.9533,-71.3436,55.13,94,100,5.75,CL,2022-10-01 17:09:43,overcast clouds
