City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Huilong,31.8111,121.655,73.92,93,60,7.07,CN,2022-09-30 18:13:35
1,Carnarvon,-24.8667,113.6333,68.95,68,0,17.45,AU,2022-09-30 18:09:42
2,Belmonte,-15.8631,-38.8828,75.81,85,95,14.83,BR,2022-09-30 18:13:35
3,Port Alfred,-33.5906,26.891,67.17,91,100,5.01,ZA,2022-09-30 18:13:35
4,Shelburne,44.0787,-80.2041,65.23,44,0,2.98,CA,2022-09-30 18:13:36
5,Hobart,-42.8794,147.3294,40.05,90,1,9.22,AU,2022-09-30 18:08:47
6,Baykit,61.67,96.37,26.87,74,25,3.24,RU,2022-09-30 18:13:36
7,Gejiu,23.306,103.1635,55.87,97,96,2.39,CN,2022-09-30 18:13:37
8,Betsiamites,48.9413,-68.646,61.2,60,61,16.4,CA,2022-09-30 18:13:38
9,Nanortalik,60.1432,-45.2371,39.11,77,38,9.08,GL,2022-09-30 18:13:38
10,Cape Town,-33.9258,18.4232,62.35,64,51,3.0,ZA,2022-09-30 18:09:31
11,Kapaa,22.0752,-159.319,80.58,88,100,4.61,US,2022-09-30 18:09:16
12,Tongzi,28.7829,105.0877,72.37,80,66,2.01,CN,2022-09-30 18:13:39
13,Bredasdorp,-34.5322,20.0403,54.36,88,81,5.95,ZA,2022-09-30 18:13:39
14,Albany,42.6001,-73.9662,61.23,62,100,2.71,US,2022-09-30 18:10:41
15,Fortuna,40.5982,-124.1573,72.93,67,0,1.01,US,2022-09-30 18:13:40
16,Rikitea,-23.1203,-134.9692,73.53,78,88,15.7,PF,2022-09-30 18:13:40
17,Maryborough,-25.5333,152.7,61.11,89,81,3.91,AU,2022-09-30 18:13:40
18,Nome,64.5011,-165.4064,32.07,80,0,3.44,US,2022-09-30 18:13:41
19,Lorengau,-2.0226,147.2712,80.89,74,99,5.37,PG,2022-09-30 18:13:41
20,Comodoro Rivadavia,-45.8667,-67.5,62.46,34,0,4.61,AR,2022-09-30 18:13:41
21,Saldanha,-33.0117,17.9442,59.05,85,47,9.66,ZA,2022-09-30 18:13:42
22,Bestobe,52.4994,73.0975,31.32,56,22,6.42,KZ,2022-09-30 18:13:42
23,Mahebourg,-20.4081,57.7,70.09,78,40,4.61,MU,2022-09-30 18:13:43
24,Punta Arenas,-53.15,-70.9167,50.11,43,0,35.68,CL,2022-09-30 18:13:43
25,Morondava,-20.2833,44.2833,76.55,73,0,16.11,MG,2022-09-30 18:13:43
26,Brae,60.3964,-1.353,53.19,83,100,17.05,GB,2022-09-30 18:13:44
27,Constitucion,-35.3333,-72.4167,61.3,72,91,8.79,CL,2022-09-30 18:13:44
